#FID, PT_X, PT_Y
571,-51824.0756,6711310.494
571,-51819.6571,6711308.087
571,-51815.4237,6711305.944
571,-51815.0004,6711305.679
572,-51821.4598,6711309.069
572,-51820.3979,6711310.468
573,-51822.0156,6711309.372
573,-51821.1916,6711310.468
574,-51822.7499,6711309.772
574,-51823.7581,6711307.108
574,-51824.7106,6711305.123
575,-51816.4821,6711307.822
575,-51814.5241,6711310.468
576,-51815.212,6711308.801
576,-51814.0214,6711310.468
577,-51822.9206,6711309.321
577,-51820.2656,6711307.981
578,-51821.4598,6711309.069
578,-51822.1425,6711307.868
579,-51822.0927,6711308.903
579,-51822.5675,6711308.087
580,-51812.09,6711294.91
580,-51815.1856,6711289.275
581,-51813.3335,6711291.868
581,-51816.4027,6711285.761
582,-51801.0039,6711310.441
582,-51803.3058,6711305.652
582,-51805.687,6711299.25
582,-51806.7118,6711294.937
582,-51806.957,6711292.82
582,-51808.3064,6711285.761
583,-51820.5347,6711292.569
583,-51815.5295,6711290.095
584,-51822.5146,6711293.64
584,-51820.683,6711292.495
585,-51817.3552,6711302.001
585,-51818.8368,6711299.541
585,-51820.7154,6711296.974
585,-51823.4141,6711294.249
585,-51824.9223,6711292.45
585,-51827.2913,6711290.518
586,-51807.3804,6711310.761
586,-51808.2535,6711309.171
586,-51810.3172,6711304.065
586,-51812.5133,6711299.779
586,-51813.0689,6711298.562
587,-51808.6239,6711310.468
587,-51809.9468,6711307.399
587,-51811.3227,6711303.8
588,-51803.6762,6711310.177
588,-51804.8668,6711307.928
588,-51805.9252,6711304.515
589,-51797.2913,6711289.169
589,-51798.5962,6711285.761
591,-51800.1308,6711289.407
591,-51801.6389,6711285.761
592,-51817.805,6711306.314
592,-51819.1808,6711303.853
592,-51820.6625,6711301.869
592,-51821.8531,6711300.017
592,-51822.1706,6711299.726
593,-51821.3735,6711292.927
593,-51819.1762,6711295.231
593,-51816.6143,6711298.667
593,-51814.1537,6711301.499
593,-51813.0425,6711303.324
594,-51807.1117,6711285.761
594,-51805.3655,6711289.65
594,-51804.2583,6711292.053
594,-51802.1416,6711295.81
594,-51800.8981,6711298.906
594,-51798.9401,6711303.324
594,-51797.2913,6711307.584
595,-51802.856,6711310.441
595,-51804.4435,6711307.69
595,-51805.9252,6711304.515
595,-51807.0099,6711301.684
595,-51808.571,6711297.318
595,-51810.6083,6711293.138
595,-51813.2277,6711288.534
595,-51815.212,6711285.761
596,-51805.3431,6711310.761
596,-51806.5072,6711308.589
596,-51808.9414,6711302.266
596,-51810.4495,6711299.144
596,-51813.7304,6711293.667
597,-51822.7527,6711306.579
597,-51825.1075,6711301.922
597,-51826.06,6711300.572
598,-51820.1862,6711306.552
598,-51822.1177,6711304.171
598,-51824.1814,6711301.102
598,-51825.8483,6711298.641
598,-51827.2913,6711296.524
599,-51820.3185,6711309.436
599,-51821.5356,6711307.875
600,-51800.0779,6711288.825
600,-51801.1097,6711285.761
601,-51797.2913,6711294.593
601,-51798.6756,6711291.524
601,-51799.7604,6711288.666
601,-51800.8517,6711285.761
602,-51802.0639,6711298.125
602,-51803.5871,6711296.024
602,-51806.957,6711292.82
603,-51805.687,6711299.25
603,-51810.4744,6711293.412
604,-51827.2913,6711288.269
604,-51825.5044,6711289.804
604,-51823.976,6711291.168
604,-51823.6705,6711291.432
604,-51821.649,6711293.099
605,-51826.7214,6711285.761
605,-51824.7445,6711288.818
605,-51821.4006,6711292.21
605,-51819.0273,6711294.576
605,-51814.9739,6711298.826
605,-51814.6829,6711299.25
606,-51817.9168,6711301.069
606,-51814.6829,6711299.25
606,-51813.0689,6711298.562
606,-51810.1585,6711297.186
606,-51808.8718,6711296.701
607,-51815.1591,6711307.531
607,-51810.5486,6711305.825
608,-51808.2337,6711304.104
608,-51804.4695,6711302.523
611,-51797.2913,6711304.356
611,-51799.0195,6711300.308
612,-51798.1199,6711301.207
612,-51799.6016,6711297.9
613,-51823.9698,6711300.731
613,-51826.5098,6711296.736
613,-51827.2913,6711295.598
614,-51822.1441,6711291.047
614,-51823.6787,6711289.195
614,-51824.8958,6711287.528
614,-51826.06,6711285.761
615,-51812.673,6711298.3748
615,-51816.2175,6711292.132
616,-51812.2338,6711298.167
616,-51814.3389,6711294.54
617,-51815.3708,6711292.344
617,-51814.2505,6711294.247
617,-51813.515,6711295.628
618,-51815.4502,6711301.419
618,-51816.5879,6711299.461
618,-51818.4353,6711296.845
618,-51821.4728,6711292.989
619,-51797.2913,6711299.673
619,-51799.6281,6711295.36
619,-51801.0078,6711293.102
620,-51823.2819,6711285.761
620,-51821.7737,6711288.216
621,-51813.0215,6711294.85
621,-51812.6218,6711293.942
622,-51813.5112,6711294.033
622,-51813.3507,6711292.615
623,-51798.9401,6711310.761
623,-51799.7868,6711308.669
624,-51803.9143,6711297.292
624,-51802.9354,6711298.985
624,-51802.0093,6711301.287
624,-51801.0039,6711304.674
624,-51799.4693,6711308.378
624,-51798.5433,6711310.761
625,-51799.8662,6711306.102
625,-51798.6491,6711308.536
625,-51797.9083,6711310.761
626,-51799.7604,6711304.382
626,-51798.9137,6711306.711
626,-51797.7495,6711309.436
626,-51797.2913,6711310.761
627,-51799.4693,6711308.378
627,-51798.4101,6711307.89
628,-51800.4976,6711305.896
628,-51797.2913,6711304.726
629,-51808.0409,6711309.558
629,-51806.2691,6711310.761
630,-51824.1285,6711295.81
630,-51821.9589,6711298.244
630,-51820.3185,6711300.969
631,-51820.6625,6711301.869
631,-51818.1252,6711300.722
632,-51826.695,6711289.381
632,-51825.716,6711288.904
633,-51826.1923,6711289.804
633,-51825.3985,6711289.328
634,-51804.859,6711301.476
634,-51808.39,6711297.824
635,-51806.1104,6711311.235
635,-51806.2691,6711310.761
635,-51806.8777,6711309.654
635,-51807.8698,6711307.564
635,-51808.4387,6711306.307
635,-51808.9657,6711304.857
636,-51809.7957,6711305.355
636,-51808.9657,6711304.857
636,-51808.7143,6711304.645
637,-51816.6915,6711307
637,-51813.6223,6711305.306
637,-51811.3227,6711303.8
637,-51810.6744,6711303.368
638,-51804.7419,6711301.791
638,-51806.6902,6711302.518
638,-51808.5201,6711303.36
639,-51800.2212,6711299.142
639,-51797.2913,6711298.057
640,-51823.6809,6711289.757
640,-51826.3885,6711285.761
641,-51825.9557,6711291.607
641,-51827.2913,6711289.669
642,-51802.0203,6711310.761
642,-51803.9518,6711306.735
643,-51803.0024,6711310.188
643,-51802.6822,6711309.381
644,-51800.1153,6711310.761
644,-51802.4172,6711306.206
644,-51803.2903,6711303.137
645,-51802.4172,6711306.206
645,-51803.846,6711302.555
645,-51804.8514,6711300.041
646,-51797.2913,6711308.905
646,-51798.8496,6711305.295
647,-51824.2983,6711298.903
647,-51825.2508,6711297.792
647,-51826.2033,6711296.469
648,-51819.5093,6711306.365
648,-51821.2556,6711304.063
648,-51822.2081,6711302.449
648,-51823.2929,6711300.57
649,-51813.3047,6711298.662
649,-51814.4558,6711296.178
649,-51815.9904,6711293.559
649,-51816.89,6711291.865
650,-51805.7914,6711302.183
650,-51807.2144,6711299.04
651,-51807.5842,6711300.078
651,-51810.4863,6711297.341
652,-51808.1571,6711303.193
652,-51809.8765,6711297.916
653,-51824.7481,6711305.703
653,-51825.2773,6711304.513
654,-51824.3777,6711304.83
654,-51824.7106,6711305.123
654,-51824.9096,6711305.34
655,-51812.0414,6711296.486
655,-51809.5177,6711295.376
656,-51797.7031,6711298.209
656,-51799.1099,6711294.961
657,-51821.1233,6711291.178
657,-51822.7868,6711288.94
658,-51822.9238,6711288.816
658,-51824.6309,6711285.939
659,-51823.0156,6711288.922
659,-51822.2555,6711290
659,-51821.9805,6711290.446
659,-51821.2397,6711291.398
659,-51820.3121,6711292.459
660,-51819.3989,6711292.008
660,-51814.0681,6711298.988
661,-51825.1979,6711305.65
661,-51826.1504,6711304.036
662,-51809.3059,6711305.061
662,-51812.5168,6711298.301
663,-51811.7463,6711297.936
663,-51808.7143,6711304.645
664,-51823.3723,6711303.544
664,-51827.2913,6711297.379
665,-51818.9092,6711307.708
665,-51817.181,6711310.761
666,-51799.9301,6711293.702
666,-51802.8405,6711285.761
668,-51799.5559,6711309.239
668,-51801.5758,6711306.259
669,-51802.2868,6711297.438
669,-51805.9415,6711291.68
670,-51801.6034,6711298.405
670,-51805.3858,6711291.918
671,-51819.3823,6711289.908
671,-51821.7737,6711288.216
671,-51822.4515,6711287.738
672,-51827.0193,6711288.503
672,-51826.3938,6711288.267
673,-51827.0023,6711288.981
673,-51826.2086,6711288.585
674,-51824.8114,6711290.422
674,-51823.6809,6711289.757
674,-51823.4012,6711289.53
675,-51819.9909,6711310.761
675,-51820.4142,6711309.751
676,-51807.82,6711310.761
676,-51810.9606,6711303.559
677,-51808.1904,6711310.761
677,-51811.1557,6711303.689
678,-51813.7016,6711298.831
678,-51818.6621,6711291.644
678,-51819.5207,6711290.348
679,-51824.9223,6711292.45
679,-51825.6849,6711290.775
680,-51799.2001,6711300.776
680,-51800.7876,6711296.675
681,-51799.5705,6711300.988
681,-51800.2212,6711299.142
681,-51802.1416,6711295.81
683,-51798.9884,6711298.263
683,-51799.6016,6711297.9
683,-51801.1051,6711295.855
684,-51800.4865,6711297.453
684,-51800.0998,6711296.297
685,-51807.0194,6711292.494
685,-51809.7305,6711289.373
685,-51812.4293,6711285.761
687,-51797.2913,6711288.05
687,-51798.1682,6711285.761
690,-51820.5256,6711285.761
690,-51819.6789,6711287.15
691,-51818.4353,6711289.505
691,-51819.7847,6711288.076
692,-51818.8322,6711289.558
692,-51819.2072,6711288.688
693,-51819.9911,6711287.304
693,-51819.6789,6711287.15
693,-51819.5148,6711287.029
694,-51819.2185,6711288.256
694,-51819.8975,6711287.258
695,-51819.6745,6711288.193
695,-51819.4299,6711287.945
696,-51821.4463,6711288.69
696,-51820.8272,6711288.389
697,-51814.0013,6711297.159
697,-51816.6097,6711293.564
698,-51820.3241,6711293.283
698,-51816.4245,6711291.447
699,-51817.3572,6711291.886
699,-51817.7442,6711291.19
700,-51827.2913,6711303.115
700,-51826.5316,6711304.703
701,-51827.2913,6711297.982
701,-51824.2297,6711302.745
702,-51821.8682,6711293.236
702,-51820.194,6711295.854
702,-51818.8472,6711297.38
702,-51817.9423,6711298.597
704,-51816.9466,6711299.579
704,-51818.3436,6711297.494
704,-51818.9786,6711296.658
706,-51817.49,6711298.184
706,-51813.8466,6711294.779
707,-51826.1843,6711297.248
707,-51825.4027,6711296.727
708,-51824.5296,6711297.811
708,-51825.4027,6711296.727
708,-51827.2913,6711294.16
709,-51824.5508,6711298.146
709,-51825.5669,6711296.836
709,-51827.2913,6711294.638
710,-51822.1695,6711301.877
710,-51823.4977,6711299.469
711,-51817.0419,6711304.311
711,-51820.3227,6711299.31
711,-51821.5663,6711297.908
712,-51805.9029,6711310.761
712,-51808.8634,6711304.77
713,-51820.5799,6711297.899
713,-51822.2204,6711295.942
714,-51821.6504,6711296.622
714,-51821.267,6711296.417
715,-51800.4673,6711307.175
715,-51801.4505,6711305.652
715,-51803.3328,6711301.974
716,-51799.7145,6711305.61
716,-51801.3853,6711301.295
716,-51802.4559,6711298.614
717,-51807.8191,6711288.31
717,-51810.023,6711285.761
718,-51808.4138,6711287.622
718,-51808.806,6711285.761
719,-51808.9953,6711286.949
719,-51809.3351,6711285.761
722,-51799.8804,6711291.894
722,-51800.3091,6711290.856
722,-51802.3766,6711285.761
725,-51807.921,6711296.526
725,-51810.4296,6711289.597
726,-51809.7946,6711290.2
726,-51810.4296,6711289.597
726,-51812.8744,6711285.761
727,-51809.157,6711295.019
727,-51810.921,6711288.826
728,-51810.1125,6711293.854
728,-51811.5263,6711287.876
729,-51819.186,6711291.903
729,-51820.1928,6711290.317
730,-51820.542,6711291.19
730,-51822.5581,6711288.856
731,-51820.7008,6711290.46
731,-51822.7169,6711288.167
731,-51823.3836,6711287.278
732,-51823.1773,6711287.04
732,-51823.9869,6711285.761
733,-51824.533,6711288.499
733,-51824.2495,6711288.414
734,-51824.839,6711288.048
734,-51824.6158,6711287.912
735,-51825.1279,6711287.621
735,-51824.8958,6711287.528
736,-51823.3519,6711292.739
736,-51823.976,6711291.168
737,-51823.5053,6711292.353
737,-51822.8753,6711292.088
738,-51820.0103,6711292.31
738,-51819.1768,6711293.39
738,-51817.9385,6711294.597
738,-51815.9837,6711296.776
739,-51816.1941,6711296.973
739,-51818.51,6711294.581
739,-51819.3673,6711293.724
740,-51820.0596,6711294.304
740,-51819.3673,6711293.724
740,-51819.039,6711293.525
741,-51819.1768,6711293.39
741,-51818.6585,6711292.977
745,-51819.4312,6711288.451
745,-51818.6635,6711288.316
746,-51818.9357,6711293.198
746,-51820.2827,6711291.078
747,-51820.7005,6711292.015
747,-51819.9627,6711291.581
748,-51823.6705,6711291.432
748,-51824.2515,6711290.475
749,-51823.9351,6711290.996
749,-51823.6006,6711290.903
750,-51808.1859,6711300.031
750,-51808.5987,6711298.714
751,-51805.1062,6711296.221
751,-51805.9583,6711293.77
752,-51807.7414,6711294.808
752,-51808.9321,6711291.76
752,-51809.3626,6711290.044
753,-51808.9077,6711290.32
753,-51809.6692,6711286.17
754,-51808.465,6711290.83
754,-51809.2078,6711286.704
755,-51807.7742,6711288.545
755,-51809.577,6711286.672
756,-51807.7815,6711291.616
756,-51808.5855,6711287.702
757,-51807.4024,6711292.053
757,-51808.0178,6711288.292
758,-51806.0904,6711289.141
758,-51808.0316,6711287.198
759,-51806.5983,6711288.633
759,-51807.9161,6711285.761
760,-51806.2412,6711288.99
760,-51807.0112,6711286.998
761,-51810.712,6711295.901
761,-51813.1178,6711291.162
762,-51813.5628,6711291.411
762,-51813.1178,6711291.162
762,-51812.223,6711290.3
763,-51812.4322,6711292.513
763,-51811.3581,6711291.82
765,-51803.1156,6711288.735
765,-51804.3435,6711287.272
765,-51805.4978,6711285.761
766,-51811.5538,6711294.243
766,-51810.3284,6711293.712
767,-51806.2665,6711302.36
767,-51807.666,6711298.573
768,-51822.193,6711299.047
768,-51824.098,6711296.401
768,-51825.3945,6711294.84
768,-51825.6855,6711294.39
769,-51822.4047,6711299.497
769,-51824.0451,6711297.327
769,-51825.4209,6711295.607
770,-51825.553,6711298.241
770,-51824.7322,6711297.56
772,-51798.5752,6711305.195
772,-51801.6035,6711298.405
773,-51810.2203,6711295.685
773,-51812.75,6711290.808
774,-51807.4501,6711306.14
774,-51810.0089,6711301.087
774,-51811.539,6711297.838
774,-51812.9608,6711295.346
774,-51813.7546,6711293.909
774,-51815.1965,6711291.546
775,-51815.7595,6711306.114
775,-51816.9516,6711303.168
776,-51815.4237,6711305.944
776,-51816.5217,6711302.936
777,-51813.6223,6711305.306
777,-51815.0664,6711302.936
778,-51813.9561,6711305.491
778,-51815.3641,6711303.168
779,-51811.8473,6711304.144
779,-51813.1151,6711301.713
780,-51811.6184,6711303.994
780,-51812.7976,6711301.727
781,-51800.8112,6711302.778
781,-51802.0805,6711301.11
782,-51799.1417,6711305.401
782,-51799.4812,6711303.163
783,-51799.2579,6711304.635
783,-51800.8543,6711300.775
784,-51801.0039,6711304.674
784,-51803.3626,6711300.828
784,-51804.1299,6711299.743
785,-51802.2753,6711302.601
785,-51804.6326,6711299.875
785,-51805.8582,6711298.529
786,-51821.3066,6711299.328
786,-51819.3813,6711298.797
787,-51816.5922,6711289.191
787,-51815.5678,6711287.422
788,-51814.0337,6711293.452
788,-51813.8985,6711291.618
789,-51814.7401,6711292.294
789,-51814.4718,6711290.574
790,-51814.6548,6711291.747
790,-51815.5295,6711290.095
790,-51815.7852,6711289.436
792,-51799.7779,6711289.568
792,-51800.1308,6711289.407
792,-51802.8537,6711287.683
792,-51805.2872,6711286.036
793,-51803.4159,6711299.755
793,-51804.4743,6711297.043
794,-51803.5569,6711297.91
794,-51804.4743,6711297.043
794,-51804.932,6711296.618
795,-51824.3392,6711294.831
795,-51823.4141,6711294.249
796,-51825.0007,6711293.078
796,-51822.9171,6711295.393
798,-51800.3757,6711307.765
798,-51801.4075,6711306.098
798,-51802.7304,6711303.981
799,-51802.2359,6711306.565
799,-51801.5758,6711306.259
799,-51801.4075,6711306.098
800,-51821.475,6711288.428
800,-51821.8038,6711287.858
801,-51822.5553,6711287.461
801,-51822.2913,6711287.374
802,-51822.8146,6711287.112
802,-51822.5121,6711287.014
803,-51822.1877,6711287.542
803,-51821.8885,6711287.467
804,-51821.642,6711288.138
804,-51821.2588,6711287.975
805,-51826.0101,6711286.87
805,-51825.4967,6711286.616
806,-51825.4475,6711286.691
806,-51824.6947,6711286.452
807,-51823.1016,6711288.516
807,-51822.535,6711288.374
808,-51824.7445,6711288.818
808,-51824.4007,6711288.695
809,-51818.0164,6711299.068
809,-51817.1687,6711298.639
811,-51813.7176,6711295.61
811,-51813.298,6711295.051
812,-51806.8059,6711294.124
812,-51808.5575,6711291.555
812,-51809.1702,6711290.811
813,-51806.6605,6711295.153
813,-51808.2136,6711292.608
814,-51807.4939,6711294.714
814,-51808.4781,6711292.373
814,-51808.7656,6711291.302
815,-51808.2362,6711293.542
815,-51807.7565,6711293.357
816,-51801.2076,6711298.135
816,-51802.4559,6711298.614
816,-51803.0195,6711298.839
817,-51799.2461,6711297.574
817,-51799.6866,6711296.82
817,-51800.0998,6711296.297
817,-51800.774,6711295.379
818,-51799.9485,6711296.018
818,-51801.0042,6711294.78
819,-51800.8058,6711295.522
819,-51800.774,6711295.379
819,-51800.6034,6711295.01
820,-51801.3813,6711295.244
820,-51801.7384,6711294.311
820,-51801.9885,6711293.081
821,-51801.413,6711294.109
821,-51801.9885,6711293.081
821,-51802.7306,6711291.771
821,-51802.9053,6711291.366
821,-51803.1275,6711290.902
821,-51803.6355,6711289.827
821,-51803.9967,6711288.969
821,-51804.1792,6711288.402
822,-51804.1118,6711289.057
822,-51804.7388,6711287.461
823,-51804.2549,6711288.693
823,-51804.0824,6711288.703
824,-51802.7505,6711291.001
824,-51803.7784,6711288.842
825,-51803.1086,6711290.249
825,-51803.2374,6711288.59
826,-51798.1606,6711294.087
826,-51798.66,6711293.157
826,-51799.6092,6711292.02
827,-51797.8762,6711295.697
827,-51798.7725,6711293.716
827,-51798.9974,6711293.164
828,-51798.5158,6711293.82
828,-51798.9974,6711293.164
828,-51799.5213,6711292.534
829,-51798.7308,6711293.38
829,-51799.4903,6711292.286
830,-51798.8122,6711293.416
830,-51798.7692,6711293.027
831,-51799.1608,6711292.213
831,-51799.9777,6711291.32
832,-51798.983,6711292.77
832,-51799.1608,6711292.213
832,-51799.7462,6711290.907
832,-51800.3854,6711289.246
833,-51800.0028,6711290.996
833,-51801.0611,6711288.218
834,-51800.3142,6711288.123
834,-51800.0093,6711288.003
835,-51799.2024,6711291.313
835,-51799.9008,6711289.512
